"Story","Title","Result","Date","Stability","Duration (s)"
"Check sign in","User should be able to sign in with valid credentials","SUCCESS","2021-10-03T23:08:57.570571+03:00[Europe/Kiev]","0.0","14.75"
"Check sign in","User should not be able to sign in with not valid credentials","SUCCESS","2021-10-03T23:09:13.818807+03:00[Europe/Kiev]","0.0","24.07"
